State,Date,Season,Temp_Max_C,Temp_Min_C,Humidity_pct,Rainfall_mm,WindSpeed_kmh,SolarRad_Wm2,Evapotranspiration
Nagaland,2021-03-24,Rabi,26.9,20.8,57.3,39.8,15.7,253.0,5.29
Sikkim,2019-11-26,Rabi,31.2,23.3,62.4,71.7,10.4,128.8,4.03
Himachal Pradesh,2021-10-12,Kharif,17.1,10.0,60.6,22.3,27.1,294.8,4.42
Puducherry,2020-08-10,Kharif,37.8,31.7,60.0,0.0,24.3,226.3,3.52
Puducherry,2019-08-26,Kharif,23.6,14.5,55.6,89.6,24.8,376.5,2.26
Kerala,2019-02-24,Rabi,35.5,27.2,98.0,77.2,12.1,239.3,5.08
Andaman and Nicobar Islands,2021-12-29,Rabi,23.2,12.9,73.7,91.5,18.9,301.5,4.26
Telangana,2019-10-31,Kharif,24.6,14.0,47.6,44.6,13.9,219.4,3.22
Meghalaya,2020-08-23,Kharif,27.2,16.8,81.0,58.8,15.3,294.9,4.56
Uttar Pradesh,2020-10-25,Kharif,21.0,9.3,66.0,24.2,22.3,191.2,5.07
Sikkim,2022-11-20,Rabi,24.7,18.3,64.8,84.4,28.1,211.1,5.56
Karnataka,2020-07-11,Kharif,30.5,25.4,59.0,4.6,25.8,289.9,3.41
Daman and Diu,2021-06-04,Kharif,33.0,26.5,55.4,20.4,19.5,197.7,1.92
Himachal Pradesh,2019-10-06,Kharif,17.0,11.3,56.2,52.0,26.4,235.0,5.78
Tamil Nadu,2020-11-09,Rabi,24.8,13.3,52.2,85.3,4.4,228.4,1.92
Punjab,2022-02-14,Rabi,49.4,43.1,61.9,30.4,23.0,295.3,4.4
Goa,2022-12-16,Rabi,30.4,22.6,47.1,59.4,12.1,261.8,5.61
Delhi,2022-09-29,Kharif,27.9,19.7,59.0,80.9,33.2,185.0,4.01
Lakshadweep,2020-07-19,Kharif,26.5,16.7,67.4,26.2,16.0,156.5,4.72
Chandigarh,2021-11-27,Rabi,24.6,19.7,59.2,94.8,33.4,273.0,4.73
Tripura,2020-11-22,Rabi,29.9,20.1,40.3,10.4,11.5,233.8,3.29
Lakshadweep,2022-12-20,Rabi,42.5,34.0,55.3,118.6,26.0,277.6,3.72
Chandigarh,2019-01-10,Rabi,36.9,26.6,62.4,37.2,19.4,231.4,4.94
Tripura,2022-08-01,Kharif,19.7,13.3,72.7,104.3,17.6,261.9,4.74
Maharashtra,2022-08-09,Kharif,20.1,13.5,64.5,33.1,32.7,187.8,6.16
Madhya Pradesh,2022-09-03,Kharif,22.3,14.4,64.1,27.7,23.5,189.0,4.1
Dadra and Nagar Haveli,2019-07-20,Kharif,23.6,13.6,61.6,43.7,23.4,313.5,6.07
Nagaland,2021-05-17,Zaid,32.0,22.3,50.0,21.0,16.9,214.7,5.27
Jammu and Kashmir,2019-02-26,Rabi,28.9,19.1,68.8,39.0,19.6,245.7,5.06
Maharashtra,2020-12-25,Rabi,25.7,14.7,60.1,93.9,25.8,266.8,5.86
Haryana,2022-05-16,Zaid,28.0,20.9,62.2,32.7,10.9,322.8,6.13
Jharkhand,2020-02-21,Rabi,34.2,25.4,61.1,99.3,2.2,275.1,4.99
Sikkim,2021-04-24,Zaid,36.3,26.5,52.9,16.8,26.4,228.7,3.21
Gujarat,2019-09-24,Kharif,25.5,18.6,62.7,87.2,20.2,289.6,4.99
Himachal Pradesh,2021-03-14,Rabi,21.4,11.8,72.6,23.8,12.9,315.9,3.41
Tamil Nadu,2020-11-14,Rabi,31.5,20.2,67.4,91.6,25.0,248.8,6.01
Punjab,2022-09-05,Kharif,25.4,16.4,42.5,19.3,2.9,191.9,5.92
Odisha,2019-11-17,Rabi,24.1,16.8,53.8,10.5,19.8,269.0,6.51
Sikkim,2019-02-23,Rabi,38.5,28.8,69.0,28.8,31.8,124.8,4.07
Himachal Pradesh,2019-12-25,Rabi,18.9,11.5,62.2,5.9,14.6,281.6,3.52
Uttarakhand,2019-12-17,Rabi,23.7,12.3,66.0,38.7,26.4,274.3,4.23
Bihar,2019-08-23,Kharif,18.6,12.3,60.1,22.9,27.7,232.0,4.24
Haryana,2021-03-17,Rabi,39.9,34.1,52.5,88.4,7.9,367.1,2.7
Gujarat,2019-07-30,Kharif,31.6,21.2,62.4,78.5,16.5,312.4,3.51
Kerala,2022-03-10,Rabi,36.4,24.8,87.8,159.8,25.5,203.6,3.54
Maharashtra,2019-05-28,Zaid,32.2,24.2,66.5,53.5,1.1,292.3,3.4
Rajasthan,2020-09-11,Kharif,41.5,35.4,46.5,1.6,15.3,356.9,6.5
Chandigarh,2022-01-09,Rabi,36.6,30.2,55.2,0.0,7.7,224.2,5.01
Karnataka,2022-03-12,Rabi,29.7,23.4,71.1,73.6,20.9,257.3,5.97
Odisha,2022-09-15,Kharif,36.1,28.2,72.6,48.7,10.1,308.5,3.26
Chandigarh,2021-05-16,Zaid,32.9,23.0,57.3,42.8,16.6,218.2,4.93
Telangana,2019-10-25,Kharif,30.4,21.5,61.4,54.5,11.5,270.1,4.45
Jharkhand,2022-04-29,Zaid,39.7,29.7,71.6,33.1,19.8,215.3,2.63
Mizoram,2021-12-15,Rabi,32.6,24.2,61.0,36.7,11.6,209.6,4.31
Bihar,2020-12-11,Rabi,30.3,26.3,62.6,101.6,21.0,259.3,3.58
Jharkhand,2021-06-23,Kharif,29.1,19.9,56.9,29.8,14.2,304.4,5.96
Tripura,2019-07-07,Kharif,26.5,17.6,61.1,38.9,25.8,330.3,5.27
Delhi,2022-11-04,Rabi,34.6,24.7,63.3,22.0,13.9,202.6,2.37
Karnataka,2022-06-18,Kharif,31.6,26.0,66.4,42.0,11.9,253.4,6.99
Chhattisgarh,2021-05-12,Zaid,41.7,32.0,41.2,46.8,23.0,146.5,4.33
Puducherry,2022-12-22,Rabi,37.2,26.3,71.8,0.0,27.4,318.2,4.27
Tamil Nadu,2019-10-05,Kharif,24.6,16.5,76.0,152.9,14.6,259.2,3.7
Chandigarh,2021-05-03,Zaid,33.4,22.1,48.5,91.5,11.9,255.6,4.58
Bihar,2022-09-16,Kharif,21.5,17.3,76.8,2.7,24.2,254.3,4.0
Jharkhand,2020-03-13,Rabi,32.1,26.2,63.4,25.5,15.5,238.6,2.55
Jharkhand,2021-10-20,Kharif,19.6,8.3,43.8,0.0,23.3,279.4,3.05
Ladakh,2019-02-14,Rabi,29.9,18.8,65.4,67.3,29.2,208.2,2.65
Sikkim,2020-08-07,Kharif,24.8,15.9,60.9,76.9,22.1,205.1,3.56
Madhya Pradesh,2022-03-12,Rabi,30.7,19.8,60.6,42.1,10.1,303.0,3.45
Mizoram,2019-08-26,Kharif,31.7,25.4,47.7,23.8,27.6,183.4,5.77
Puducherry,2021-06-15,Kharif,28.8,18.1,82.4,10.6,18.6,252.5,6.32
Sikkim,2020-04-17,Zaid,39.6,34.1,84.9,62.3,30.7,243.5,5.35
Dadra and Nagar Haveli,2020-08-11,Kharif,24.8,16.9,49.2,12.2,5.0,233.4,2.43
Maharashtra,2020-09-20,Kharif,30.3,26.1,60.7,37.2,9.5,340.6,5.13
Chandigarh,2019-03-03,Rabi,29.6,21.9,56.3,18.5,7.4,174.8,5.06
Karnataka,2021-06-02,Kharif,33.2,23.8,79.8,34.8,26.1,248.6,4.29
Nagaland,2019-05-21,Zaid,32.8,22.1,50.5,39.9,17.2,267.8,4.38
Uttar Pradesh,2021-05-20,Zaid,33.1,22.0,73.3,37.1,15.6,235.1,5.64
Punjab,2019-03-26,Rabi,31.4,24.4,60.8,32.7,6.3,274.5,5.39
Meghalaya,2021-05-31,Zaid,33.2,22.0,61.7,79.6,22.7,283.5,4.42
Uttarakhand,2022-11-11,Rabi,33.7,21.9,79.9,14.8,24.9,314.1,3.39
Manipur,2022-02-03,Rabi,35.2,29.5,63.8,76.1,20.6,163.8,3.43
Odisha,2022-09-09,Kharif,23.7,16.8,44.7,83.5,25.2,297.7,3.19
Sikkim,2022-04-08,Zaid,36.4,29.7,59.7,50.0,22.5,213.2,6.37
Uttarakhand,2021-04-21,Zaid,26.8,18.3,50.7,124.4,27.5,304.0,2.99
Nagaland,2022-09-27,Kharif,19.2,8.8,68.8,0.0,16.9,260.5,4.2
Madhya Pradesh,2021-01-03,Rabi,37.0,25.3,58.7,41.4,26.4,236.1,4.92
Punjab,2019-05-05,Zaid,36.9,27.7,54.1,8.7,18.0,279.7,4.56
Jharkhand,2020-07-09,Kharif,25.1,20.8,72.1,64.6,17.7,271.3,2.89
Lakshadweep,2022-08-27,Kharif,27.4,18.3,62.6,46.3,40.1,136.4,4.09
Rajasthan,2022-03-07,Rabi,33.1,28.8,18.7,2.9,12.8,250.5,4.65
Dadra and Nagar Haveli,2021-03-10,Rabi,34.7,26.3,64.8,70.0,22.3,241.8,4.37
Chhattisgarh,2019-09-26,Kharif,20.9,9.5,55.6,0.0,25.0,302.2,4.82
Meghalaya,2020-06-09,Kharif,34.4,29.5,66.9,65.9,21.7,362.3,2.05
Telangana,2022-02-24,Rabi,32.9,22.1,74.3,66.3,19.0,261.3,4.15
Assam,2022-08-02,Kharif,24.2,16.8,81.2,181.7,23.4,253.7,4.38
Puducherry,2019-04-03,Zaid,39.0,32.8,52.9,29.0,11.7,281.6,5.01
Odisha,2021-02-23,Rabi,33.1,28.8,48.4,45.4,32.2,251.0,7.73
Odisha,2020-12-12,Rabi,27.3,20.8,60.1,37.6,22.4,262.5,3.39
Madhya Pradesh,2020-05-06,Zaid,34.2,28.5,68.7,4.5,29.4,225.9,4.08
Tripura,2022-05-25,Zaid,37.2,26.3,47.6,61.6,30.4,246.3,3.08
Assam,2019-07-31,Kharif,24.2,13.1,81.6,96.6,7.9,327.1,5.8
Chandigarh,2022-07-08,Kharif,40.8,33.7,46.9,74.3,28.4,271.6,3.99
Uttar Pradesh,2020-08-30,Kharif,32.3,25.2,57.1,78.2,26.0,261.0,4.59
Punjab,2021-07-03,Kharif,31.4,25.2,50.7,9.9,31.7,211.0,3.8
Nagaland,2022-10-30,Kharif,30.2,23.1,43.4,32.4,30.4,247.3,3.42
Delhi,2022-11-03,Rabi,21.4,15.9,56.3,45.9,16.4,221.3,5.75
Arunachal Pradesh,2022-12-04,Rabi,18.2,10.1,48.5,20.2,19.6,332.7,6.58
Telangana,2019-09-23,Kharif,26.9,15.1,50.7,76.1,16.2,190.6,3.41
Bihar,2020-10-16,Kharif,27.8,18.4,67.3,59.1,15.2,226.5,3.71
Jammu and Kashmir,2022-02-10,Rabi,33.4,26.7,71.1,62.7,15.9,220.7,2.46
Chandigarh,2020-01-30,Rabi,29.7,19.1,73.4,97.9,41.1,213.1,5.08
Uttar Pradesh,2019-04-01,Zaid,36.5,27.2,69.0,42.2,15.0,298.5,4.12
Nagaland,2022-08-03,Kharif,22.1,11.0,60.7,1.9,20.0,308.5,2.68
Daman and Diu,2020-05-13,Zaid,42.2,32.0,55.7,19.9,28.8,204.2,2.54
Delhi,2022-05-15,Zaid,34.1,23.7,53.4,76.5,12.5,305.3,4.63
Bihar,2020-05-19,Zaid,32.5,20.8,68.5,85.0,17.2,281.9,3.99
Gujarat,2020-11-12,Rabi,30.7,21.0,54.2,11.9,16.6,217.6,6.77
Nagaland,2021-11-26,Rabi,28.4,21.9,58.4,31.4,13.7,187.7,4.19
Himachal Pradesh,2022-10-10,Kharif,17.4,12.3,59.9,94.9,21.1,233.9,4.34
Telangana,2019-09-09,Kharif,22.8,16.9,73.4,43.7,23.9,245.1,5.91
Himachal Pradesh,2022-06-20,Kharif,10.8,0.5,71.5,57.7,28.9,115.1,3.99
Bihar,2022-08-24,Kharif,27.1,17.7,55.8,36.9,34.6,167.8,6.22
Manipur,2020-03-04,Rabi,34.3,25.0,80.2,21.8,18.3,229.1,4.82
Ladakh,2022-03-02,Rabi,38.7,32.5,48.3,27.1,4.3,221.6,4.59
Tripura,2021-01-30,Rabi,30.8,22.6,57.3,0.0,21.0,132.8,1.15
Chandigarh,2020-03-23,Rabi,32.8,28.5,65.2,41.3,13.0,283.3,6.48
Manipur,2021-01-24,Rabi,32.0,27.7,65.6,24.0,16.7,250.2,5.06
Rajasthan,2020-08-11,Kharif,39.7,30.9,37.6,0.9,16.7,103.4,5.55
Jammu and Kashmir,2020-06-13,Kharif,22.4,13.7,59.3,109.4,11.5,224.7,4.09
Goa,2022-04-15,Zaid,33.2,25.7,67.1,62.9,20.1,214.2,1.94
Gujarat,2019-09-08,Kharif,30.3,19.3,56.4,17.0,15.4,291.6,1.94
Maharashtra,2020-07-02,Kharif,33.9,27.7,63.6,51.1,26.1,292.6,3.97
Rajasthan,2022-03-25,Rabi,39.3,31.1,33.1,3.1,17.2,250.2,6.25
Tripura,2019-09-04,Kharif,24.0,15.1,55.5,19.3,20.2,246.6,3.18
Haryana,2019-10-16,Kharif,17.5,5.9,58.2,38.7,27.4,270.0,6.92
Goa,2019-02-09,Rabi,32.1,23.7,78.9,0.0,10.1,267.1,3.7
Uttarakhand,2022-03-06,Rabi,42.0,37.1,71.2,89.0,1.4,239.8,7.26
Bihar,2021-06-14,Kharif,32.1,26.9,55.9,26.6,15.7,216.3,5.0
Manipur,2022-04-16,Zaid,36.0,31.5,60.7,23.3,32.3,310.2,2.39
Jammu and Kashmir,2022-03-05,Rabi,33.6,24.1,66.9,30.9,21.8,213.4,4.93
Odisha,2019-05-20,Zaid,25.1,19.4,57.5,63.2,22.7,221.4,5.17
Mizoram,2019-03-24,Rabi,29.9,21.0,67.9,33.7,27.9,196.1,4.61
Bihar,2019-12-11,Rabi,31.3,19.6,78.2,74.0,21.1,247.3,5.24
Maharashtra,2022-10-03,Kharif,18.0,8.1,70.1,47.1,18.1,307.9,5.17
Ladakh,2019-08-22,Kharif,21.2,16.5,60.5,34.0,21.8,211.2,4.81
Manipur,2020-09-15,Kharif,29.3,25.0,65.7,0.0,27.6,238.2,4.25
Bihar,2021-02-11,Rabi,36.4,32.3,65.4,0.0,21.1,237.2,4.28
Gujarat,2022-08-22,Kharif,23.3,14.4,47.4,23.5,20.1,280.4,3.64
Meghalaya,2022-08-21,Kharif,24.4,16.1,43.0,47.5,8.5,339.0,5.34
Delhi,2019-08-18,Kharif,19.8,13.7,60.1,26.4,18.8,258.7,4.19
Manipur,2020-08-22,Kharif,22.4,14.2,65.6,0.0,0.2,161.9,5.18
Nagaland,2021-11-07,Rabi,24.8,20.2,59.9,41.3,14.2,249.6,5.41
Nagaland,2019-02-04,Rabi,34.6,28.8,57.0,39.6,5.6,202.7,5.98
Puducherry,2019-12-06,Rabi,25.6,15.5,56.6,80.7,16.8,263.2,4.4
Jharkhand,2021-09-15,Kharif,31.3,27.1,73.9,20.6,31.6,243.3,5.56
Uttar Pradesh,2022-07-24,Kharif,26.2,19.6,53.6,33.1,12.8,333.7,5.43
Lakshadweep,2019-04-28,Zaid,30.5,24.3,61.8,1.2,26.4,116.1,4.71
Karnataka,2020-11-24,Rabi,22.0,10.8,66.8,74.6,8.4,270.3,5.17
Telangana,2020-08-22,Kharif,33.7,22.6,70.0,74.7,17.2,229.9,6.5
Ladakh,2022-01-24,Rabi,35.1,28.6,56.1,39.6,18.2,304.3,3.8
Madhya Pradesh,2022-08-04,Kharif,25.1,17.1,60.3,0.7,21.4,249.2,4.3
Karnataka,2022-05-30,Zaid,27.5,19.4,72.0,36.6,21.6,253.6,4.14
Tamil Nadu,2021-06-10,Kharif,36.5,28.3,86.3,101.1,19.3,200.0,2.59
Andaman and Nicobar Islands,2019-02-05,Rabi,35.9,26.2,47.5,50.9,25.2,284.5,5.24
Karnataka,2020-05-24,Zaid,30.4,18.7,65.1,0.0,31.7,180.4,6.48
Karnataka,2019-12-03,Rabi,34.9,27.6,69.1,2.5,23.0,228.2,4.16
Bihar,2021-09-17,Kharif,21.3,17.1,46.8,66.2,15.9,251.7,3.9
Uttar Pradesh,2019-01-18,Rabi,29.6,21.2,71.0,0.0,19.5,190.6,3.72
Delhi,2021-12-21,Rabi,29.1,20.6,58.4,17.7,10.2,329.6,1.94
Uttarakhand,2019-09-26,Kharif,20.0,15.0,65.8,84.6,31.4,331.4,3.97
Jammu and Kashmir,2022-03-14,Rabi,25.8,19.7,44.8,43.9,17.9,220.0,2.18
Andaman and Nicobar Islands,2020-01-09,Rabi,32.7,23.2,58.7,54.3,15.6,199.4,4.72
West Bengal,2019-07-03,Kharif,29.6,18.0,65.8,43.6,20.7,178.6,3.64
Odisha,2022-08-09,Kharif,26.9,18.6,63.6,21.0,5.7,262.7,5.46
Himachal Pradesh,2022-12-20,Rabi,32.7,27.7,87.0,0.0,15.5,215.5,4.34
Karnataka,2020-11-28,Rabi,34.9,25.3,63.2,58.7,6.6,390.0,5.61
Kerala,2019-10-07,Kharif,27.7,18.7,80.5,158.4,28.0,213.8,5.55
Bihar,2019-02-11,Rabi,26.2,21.9,41.9,49.4,18.7,225.6,2.85
Himachal Pradesh,2019-05-28,Zaid,19.3,12.9,71.9,69.9,22.7,192.1,3.64
Ladakh,2019-12-12,Rabi,27.6,15.7,79.0,82.8,18.9,323.4,6.92
Ladakh,2022-11-19,Rabi,26.1,19.6,61.8,52.0,10.2,301.5,2.65
Lakshadweep,2021-04-03,Zaid,35.8,25.2,69.8,4.4,22.7,163.9,6.4
Andhra Pradesh,2020-08-09,Kharif,25.6,21.1,67.6,23.8,18.2,290.8,4.39
Daman and Diu,2022-06-01,Kharif,32.0,20.4,70.8,0.0,13.5,230.4,3.29
Andaman and Nicobar Islands,2021-02-19,Rabi,35.1,24.7,45.7,37.6,15.2,256.7,5.5
Nagaland,2020-01-21,Rabi,34.0,25.7,69.4,87.5,8.3,271.7,5.35
Andaman and Nicobar Islands,2021-04-11,Zaid,39.6,30.3,70.5,36.0,33.9,258.8,4.57
Jharkhand,2022-12-15,Rabi,24.3,15.2,65.7,27.8,28.3,248.0,3.87
Delhi,2020-04-10,Zaid,37.0,25.7,62.5,31.9,7.3,212.0,5.36
Uttar Pradesh,2020-10-17,Kharif,22.2,11.8,66.1,95.4,23.9,259.8,6.5
Kerala,2021-06-21,Kharif,28.9,20.9,76.9,0.0,16.3,326.5,2.51
Arunachal Pradesh,2019-12-18,Rabi,32.7,26.6,63.8,64.3,6.3,232.5,4.18
Madhya Pradesh,2020-06-20,Kharif,24.9,20.0,68.5,24.1,11.4,232.0,4.43
Madhya Pradesh,2022-08-21,Kharif,21.9,11.5,59.5,50.9,26.6,239.0,7.95
Uttarakhand,2021-09-02,Kharif,25.1,19.6,71.7,34.9,0.0,281.6,4.67
Tamil Nadu,2022-01-24,Rabi,33.3,25.8,81.6,0.0,12.3,278.2,5.68
Andhra Pradesh,2021-11-05,Rabi,24.8,15.8,72.1,25.7,27.0,225.4,5.07
Puducherry,2021-05-02,Zaid,31.5,22.5,64.3,49.7,8.3,209.0,5.14
Chandigarh,2019-12-18,Rabi,29.6,20.1,44.1,67.5,10.8,244.9,3.7
Goa,2022-01-14,Rabi,35.2,28.1,54.7,70.6,0.0,241.8,3.47
Haryana,2022-09-04,Kharif,16.1,7.4,65.4,73.6,19.7,357.9,4.6
Assam,2020-03-31,Rabi,31.4,26.1,83.6,0.0,19.1,273.4,4.75
Goa,2021-01-05,Rabi,29.0,18.4,64.4,44.0,19.4,274.4,3.2
Delhi,2019-06-02,Kharif,28.2,17.3,55.1,62.8,2.2,234.3,5.39
Puducherry,2021-11-12,Rabi,29.9,18.9,63.2,87.2,23.8,351.5,3.46
Ladakh,2022-01-27,Rabi,27.3,15.7,67.0,0.0,20.0,213.4,4.71
Assam,2022-03-23,Rabi,26.7,20.3,83.7,344.2,19.7,336.1,3.28
Gujarat,2019-05-30,Zaid,33.1,26.8,51.6,88.6,15.6,154.9,3.95
Jharkhand,2022-08-24,Kharif,22.9,13.1,68.2,37.1,12.9,260.8,2.39
Chhattisgarh,2020-01-28,Rabi,32.8,25.0,73.4,69.9,16.7,294.1,4.43
Goa,2019-02-10,Rabi,33.9,28.7,51.1,11.1,10.0,280.1,3.61
Haryana,2021-09-15,Kharif,27.2,21.3,57.3,79.2,16.5,182.4,2.84
Rajasthan,2019-11-19,Rabi,39.4,32.7,49.0,3.5,29.9,215.4,4.44
Ladakh,2021-01-23,Rabi,21.3,10.0,78.1,0.0,19.5,228.6,6.65
Meghalaya,2020-03-06,Rabi,31.9,22.6,61.2,38.4,17.7,193.6,2.83
Goa,2019-06-24,Kharif,30.5,25.4,55.8,51.7,28.3,205.8,5.93
Odisha,2022-06-09,Kharif,33.6,25.2,57.0,0.0,11.5,321.5,6.9
Arunachal Pradesh,2022-07-25,Kharif,26.7,22.1,75.3,67.8,24.9,228.3,3.7
Rajasthan,2022-06-10,Kharif,38.2,29.1,42.8,0.0,17.3,294.3,4.34
Mizoram,2019-03-10,Rabi,37.7,28.0,32.3,35.5,18.8,220.2,2.81
Mizoram,2022-07-16,Kharif,20.1,11.6,58.8,74.6,18.4,174.7,3.32
Ladakh,2020-07-09,Kharif,33.4,25.8,62.4,63.7,17.6,260.4,4.7
Jharkhand,2019-11-09,Rabi,25.1,15.9,57.1,45.8,26.2,279.9,4.84
Nagaland,2021-06-12,Kharif,29.2,20.4,68.0,13.0,27.5,366.0,5.23
Dadra and Nagar Haveli,2019-08-19,Kharif,20.9,11.4,63.9,59.1,17.0,224.1,4.02
Dadra and Nagar Haveli,2020-03-20,Rabi,34.2,25.9,45.4,14.5,20.0,268.8,3.83
Sikkim,2019-06-23,Kharif,30.8,24.8,56.7,50.5,20.7,145.7,2.79
Dadra and Nagar Haveli,2020-02-25,Rabi,40.3,31.2,77.1,58.7,13.6,332.5,2.47
Andhra Pradesh,2022-03-21,Rabi,45.4,38.6,81.6,47.0,17.0,205.1,3.99
Andhra Pradesh,2020-10-06,Kharif,27.0,17.8,45.1,32.7,26.1,205.4,4.12
Delhi,2022-07-28,Kharif,33.8,22.4,74.1,11.9,24.6,200.6,4.59
Jammu and Kashmir,2019-02-20,Rabi,32.5,22.5,71.9,28.7,14.3,280.6,3.52
Jammu and Kashmir,2019-09-27,Kharif,23.5,18.7,78.9,46.3,21.8,219.6,5.32
Gujarat,2019-08-05,Kharif,24.7,19.7,49.1,16.7,22.2,255.4,3.55
Mizoram,2022-07-18,Kharif,25.7,14.5,44.9,9.3,17.7,272.9,4.77
Jammu and Kashmir,2019-06-25,Kharif,29.6,23.7,53.2,61.6,14.5,290.3,3.87
Lakshadweep,2019-12-21,Rabi,24.5,13.2,73.8,18.0,22.9,260.7,5.36
Meghalaya,2019-12-04,Rabi,19.5,9.5,37.6,79.1,11.9,271.6,3.66
Telangana,2021-11-24,Rabi,21.6,9.8,71.1,54.4,20.7,238.4,4.05
Madhya Pradesh,2020-08-18,Kharif,26.3,21.9,70.2,44.0,13.4,236.9,5.24
Delhi,2019-11-19,Rabi,20.2,15.3,57.9,24.8,20.7,267.8,6.26
Himachal Pradesh,2019-12-20,Rabi,14.6,10.3,67.3,66.8,20.8,319.4,3.62
Telangana,2019-11-25,Rabi,36.7,31.0,53.0,78.3,25.3,278.0,3.86
Odisha,2021-01-09,Rabi,30.0,21.0,57.2,35.4,19.3,222.2,4.5
Karnataka,2022-08-29,Kharif,31.5,22.3,70.7,0.0,15.7,315.0,3.75
Ladakh,2022-04-09,Zaid,30.0,25.7,64.7,133.6,8.2,225.5,3.45
Chandigarh,2022-12-22,Rabi,27.8,19.2,83.7,61.0,24.8,233.0,3.56
Andhra Pradesh,2022-03-11,Rabi,32.9,22.3,50.5,61.3,23.2,264.8,5.99
Tripura,2020-03-18,Rabi,37.7,31.8,54.8,22.8,6.4,277.8,5.53
Haryana,2021-02-05,Rabi,33.0,24.7,61.9,0.0,19.9,232.2,2.47
Jharkhand,2022-06-15,Kharif,34.5,24.1,53.1,44.5,25.1,352.7,3.19
Delhi,2019-11-14,Rabi,33.4,24.6,62.6,33.9,9.8,349.5,6.37
Uttar Pradesh,2019-02-12,Rabi,33.1,28.5,57.4,62.5,6.8,161.7,5.45
Jharkhand,2021-08-03,Kharif,20.0,13.2,49.8,53.3,31.9,286.1,5.64
Odisha,2021-08-16,Kharif,21.7,10.5,60.7,69.9,12.7,170.8,4.86
