Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,SoilType,OrganicMatter,ElecConductivity,Zinc_ppm,Crop
78.18,68.84,93.2,21.2,69.5,6.511,77.3,Alluvial,2.645,0.615,1.257,Tomato
76.76,40.63,28.15,22.8,70.31,6.956,78.2,Sandy,1.391,1.122,1.68,Mustard
90.69,51.0,42.26,18.24,66.88,6.632,114.1,Alluvial,1.196,0.476,1.628,Wheat
34.99,58.02,20.03,29.1,67.57,6.425,75.9,Loamy,2.374,0.8,0.851,Blackgram
70.22,46.28,43.44,20.5,68.17,6.944,136.8,Sandy,1.763,1.288,1.463,Wheat
117.99,59.33,117.84,18.45,82.96,5.536,168.7,Clay,2.894,0.555,0.936,Potato
77.09,36.91,40.2,17.49,61.56,6.277,136.4,Sandy,1.581,0.949,0.995,Wheat
42.1,81.95,23.42,30.47,69.66,6.907,72.2,Black,1.978,0.674,1.766,Blackgram
19.38,48.86,83.06,25.5,44.71,6.813,46.9,Black,2.867,0.808,0.323,MothBeans
110.46,63.29,110.77,18.13,82.15,5.667,175.1,Loamy,2.819,1.049,1.769,Potato
81.68,106.45,55.15,27.56,75.84,5.957,97.7,Red,2.255,0.337,1.521,Banana
72.06,44.58,57.32,20.6,73.72,6.802,93.3,Laterite,1.63,1.076,0.65,Sunflower
28.16,58.45,33.55,21.72,67.72,6.398,105.3,Alluvial,2.834,0.776,0.428,Soybean
27.67,57.03,31.41,29.14,76.73,7.039,113.7,Alluvial,1.714,0.656,1.441,Groundnut
30.35,64.54,43.25,25.04,64.35,5.913,96.7,Alluvial,1.902,1.123,1.665,Soybean
73.15,45.76,52.39,20.59,62.82,6.064,96.5,Sandy,2.326,0.578,1.143,Maize
35.96,67.65,33.45,23.99,68.91,6.653,90.2,Red,3.116,0.555,0.733,Soybean
28.6,43.34,53.04,31.2,64.93,6.93,51.8,Sandy,1.957,0.741,0.88,MungBean
77.02,67.85,80.5,25.96,88.75,7.113,122.7,Loamy,2.064,0.443,1.319,Sugarcane
94.81,47.24,77.52,22.69,70.9,6.178,86.6,Sandy,2.07,0.26,0.456,Tomato
115.51,54.26,75.03,26.96,80.73,7.758,151.4,Sandy,2.023,1.201,1.141,Sugarcane
91.04,38.96,100.34,21.24,81.86,6.865,163.6,Loamy,1.597,1.075,1.131,Ginger
85.38,60.29,98.15,22.62,75.24,5.97,72.5,Clay,2.413,0.318,1.117,Tomato
71.16,39.51,34.86,18.69,65.75,6.915,80.7,Red,2.275,0.459,1.485,Sunflower
119.09,63.51,98.39,20.36,80.98,5.161,150.8,Alluvial,1.729,0.686,1.771,Potato
78.63,60.91,83.15,21.3,73.35,6.343,90.4,Black,2.578,0.71,1.582,Tomato
100.65,64.83,120.59,25.5,81.98,6.469,207.4,Red,1.664,0.643,0.916,Turmeric
109.49,55.02,74.38,25.97,83.41,6.856,128.0,Alluvial,1.606,0.495,1.012,Sugarcane
40.9,66.55,79.59,18.29,53.36,7.187,63.4,Black,3.313,0.644,1.867,ChickPea
72.23,37.66,37.21,24.42,88.35,6.768,236.8,Laterite,2.39,1.253,1.432,Rice
40.04,71.28,20.9,31.48,74.28,6.496,63.5,Loamy,3.145,0.834,0.871,Blackgram
100.87,61.84,103.1,30.35,81.67,5.943,126.1,Sandy,1.51,0.966,1.285,Ginger
82.34,63.3,79.5,23.37,73.23,6.499,88.5,Sandy,1.614,1.074,1.026,Tomato
90.25,49.45,117.31,25.91,80.14,6.69,178.2,Alluvial,1.956,1.332,0.826,Turmeric
94.86,67.31,56.65,24.52,80.47,5.887,92.8,Black,3.064,0.833,1.378,Banana
21.51,143.11,193.58,20.73,94.99,5.716,116.5,Alluvial,2.272,0.716,0.8,Apple
109.91,86.68,45.87,25.82,72.73,5.356,91.1,Laterite,1.64,0.85,2.091,Banana
25.49,65.86,91.67,27.11,46.19,5.916,114.9,Laterite,1.487,0.949,1.174,PigeonPeas
13.53,134.17,229.39,19.72,86.64,5.88,111.5,Laterite,1.9,1.121,0.91,Apple
23.75,121.25,210.61,25.82,80.59,5.958,64.7,Loamy,1.45,0.239,1.361,Grapes
48.79,64.74,75.81,19.14,50.9,6.992,69.4,Black,2.129,0.647,1.455,ChickPea
40.09,68.04,16.43,34.89,67.3,6.441,64.4,Loamy,1.712,0.835,0.575,Blackgram
13.23,32.53,38.72,26.18,61.22,7.161,36.8,Black,1.564,1.052,2.018,MungBean
79.39,52.89,129.13,26.31,82.93,6.286,166.5,Alluvial,3.168,0.427,0.451,Turmeric
89.32,46.6,42.96,17.42,65.57,7.233,115.1,Clay,2.241,0.556,1.116,Wheat
17.81,72.52,73.53,21.01,61.96,6.438,75.8,Loamy,2.069,0.439,1.093,KidneyBeans
106.4,53.48,67.4,24.81,74.23,7.384,165.9,Clay,1.483,1.114,1.177,Sugarcane
99.79,68.25,71.53,24.56,86.6,7.049,109.6,Loamy,1.536,0.359,1.062,Sugarcane
80.27,34.75,78.5,23.25,73.92,6.989,82.5,Red,2.863,0.666,0.397,Onion
82.78,39.5,58.39,16.35,59.34,7.454,79.8,Black,2.096,1.053,0.999,Mustard
106.45,46.33,49.6,16.99,64.82,6.553,101.1,Sandy,2.491,0.694,1.762,Wheat
103.16,49.46,39.44,13.86,67.63,6.588,91.2,Laterite,1.88,0.728,0.679,Wheat
73.51,50.72,48.15,24.18,68.61,6.595,81.9,Laterite,1.829,0.731,1.496,Sunflower
42.05,65.53,86.62,14.4,58.1,7.037,77.4,Clay,1.322,0.638,1.676,ChickPea
27.0,45.54,89.35,28.84,48.89,7.212,53.8,Loamy,1.965,0.611,1.26,MothBeans
85.0,42.7,42.93,21.8,88.54,6.673,229.9,Sandy,2.69,0.799,0.3,Rice
25.81,49.3,31.4,24.21,68.41,6.928,91.2,Red,1.603,1.675,1.386,Groundnut
45.42,53.3,83.76,22.49,52.58,7.126,75.7,Laterite,3.552,1.095,0.657,ChickPea
121.33,46.55,47.4,21.08,80.6,7.538,80.2,Clay,2.175,0.581,1.559,Cotton
85.11,55.02,21.58,27.44,81.91,6.868,179.4,Black,2.661,0.632,1.487,Jute
67.11,52.97,62.15,20.07,68.11,5.608,84.5,Clay,2.098,0.878,0.535,Maize
15.21,68.57,20.69,22.5,59.33,6.613,61.4,Loamy,2.143,0.694,1.056,Lentil
102.85,34.75,45.38,25.1,76.91,7.091,233.2,Laterite,1.842,0.458,0.636,Rice
46.24,64.68,81.96,20.41,55.77,7.192,67.7,Alluvial,1.987,0.908,1.872,ChickPea
15.96,55.56,38.24,27.66,56.45,6.984,51.9,Alluvial,2.011,0.422,1.094,MungBean
110.29,82.61,54.56,25.09,70.74,5.976,116.1,Clay,2.322,1.169,1.438,Banana
25.03,54.41,38.52,27.7,64.48,7.062,93.3,Red,2.445,0.959,0.64,Groundnut
21.88,63.17,78.72,28.08,51.36,5.854,103.1,Red,1.931,0.904,0.898,PigeonPeas
95.78,43.59,43.49,23.44,71.61,6.684,182.8,Clay,2.577,0.148,1.082,Jute
26.16,125.51,186.86,23.38,87.15,5.491,110.3,Clay,1.819,1.343,1.126,Apple
18.49,43.12,36.52,25.85,68.22,6.738,66.6,Alluvial,0.704,1.137,1.517,MungBean
118.17,40.59,44.57,25.73,82.92,6.834,87.8,Sandy,2.303,0.39,0.978,Cotton
76.42,40.43,51.3,19.51,57.37,7.465,91.5,Red,2.929,0.799,1.738,Mustard
78.75,37.32,32.91,21.49,69.73,7.028,91.1,Black,2.12,1.484,1.388,Mustard
16.81,41.52,40.15,27.4,63.08,6.602,43.7,Loamy,3.153,1.25,1.452,MungBean
33.36,64.36,31.54,21.38,67.41,6.557,111.3,Black,2.259,0.94,1.352,Soybean
35.25,61.98,12.72,31.0,63.86,6.881,73.1,Clay,2.084,0.315,1.776,Blackgram
97.51,41.39,40.63,24.55,76.27,6.391,177.8,Laterite,1.694,0.664,1.219,Jute
26.83,70.25,82.12,30.17,51.45,5.946,86.8,Red,2.004,1.116,1.124,PigeonPeas
100.89,42.97,33.47,16.58,72.6,6.54,157.3,Alluvial,2.764,1.044,0.866,Wheat
56.52,62.09,60.55,23.93,77.31,6.287,81.8,Black,1.832,0.831,1.348,Tomato
37.04,72.23,30.35,24.3,69.03,7.07,105.6,Loamy,1.789,1.069,0.415,Soybean
20.0,23.19,46.37,27.31,59.52,6.352,50.5,Clay,3.997,1.044,1.552,MungBean
37.27,62.59,20.18,35.37,61.48,6.557,86.3,Laterite,1.978,0.71,0.528,Blackgram
16.49,29.43,35.89,33.51,52.08,6.254,119.0,Loamy,2.241,1.445,1.168,Mango
18.08,69.89,92.35,17.82,59.57,6.225,63.3,Clay,1.786,0.351,1.453,KidneyBeans
21.68,154.18,184.98,21.64,87.01,5.752,76.7,Clay,2.153,0.77,1.246,Grapes
115.97,54.96,115.22,18.33,86.87,5.916,157.8,Sandy,3.031,0.41,1.075,Potato
138.6,51.79,106.67,16.84,79.94,5.558,134.1,Clay,3.302,0.355,0.718,Potato
77.54,53.44,46.21,26.29,80.6,6.847,165.0,Sandy,1.987,1.035,1.193,Jute
19.93,34.43,42.01,24.95,68.7,6.679,44.7,Laterite,3.495,1.182,1.114,MungBean
42.88,65.75,41.51,27.16,68.87,7.062,84.4,Black,1.806,1.173,1.273,Soybean
103.3,48.93,41.92,14.45,72.02,6.588,139.4,Laterite,1.994,0.798,1.849,Wheat
38.68,63.4,41.62,24.57,63.71,6.633,91.8,Loamy,1.707,0.76,0.849,Soybean
86.54,58.46,66.31,21.56,70.19,6.512,81.0,Laterite,3.181,0.529,1.225,Tomato
69.05,37.02,37.6,18.58,56.46,7.443,78.5,Black,1.823,0.573,0.522,Mustard
21.27,68.23,18.5,18.36,56.53,7.038,39.6,Loamy,1.78,0.802,1.399,Lentil
31.07,56.54,32.73,21.36,70.99,6.418,99.0,Black,2.204,1.075,0.378,Soybean
15.49,113.43,200.15,22.87,83.58,5.277,75.8,Black,2.132,1.03,1.187,Grapes
73.79,49.58,44.9,26.03,86.63,6.596,182.7,Red,2.682,1.465,1.019,Jute
62.88,52.26,37.67,19.22,65.04,5.752,99.1,Clay,0.5,0.903,1.018,Maize
93.88,35.89,41.73,18.5,60.52,7.07,77.0,Sandy,2.85,0.772,1.559,Mustard
59.67,51.74,48.02,22.2,69.91,6.183,102.1,Alluvial,1.258,0.718,0.902,Maize
77.87,34.77,36.38,19.7,63.77,7.067,81.3,Sandy,2.678,1.141,1.967,Mustard
33.0,61.74,15.17,31.67,70.27,7.073,74.0,Red,2.033,0.575,0.603,Blackgram
16.46,29.1,34.4,32.39,46.42,6.432,112.9,Alluvial,2.019,0.834,1.496,Mango
75.41,52.76,35.76,27.38,81.09,6.562,185.3,Red,1.888,1.201,1.115,Jute
84.52,33.72,40.31,21.79,60.77,5.87,97.4,Red,2.306,0.482,1.397,Maize
76.3,42.89,37.1,28.15,70.63,6.389,86.8,Loamy,1.068,0.347,1.243,Sunflower
17.17,124.15,210.84,24.18,96.47,5.785,121.1,Sandy,2.46,0.555,1.384,Apple
77.23,50.35,36.04,21.25,63.75,6.704,131.3,Sandy,2.632,0.698,0.917,Wheat
97.34,49.82,108.54,20.49,84.57,6.246,167.5,Clay,1.809,1.122,0.704,Ginger
39.52,53.29,47.67,25.64,62.52,6.543,109.2,Red,2.264,0.993,0.517,Soybean
31.19,76.74,21.69,28.51,67.11,7.021,72.4,Alluvial,1.854,0.374,1.202,Blackgram
94.84,59.0,37.26,15.71,67.36,6.333,110.9,Clay,2.043,0.877,1.375,Wheat
101.83,64.36,73.03,23.7,77.14,7.451,123.8,Black,2.033,0.741,1.313,Sugarcane
113.15,37.73,43.02,23.28,81.3,7.121,91.7,Laterite,1.186,0.632,1.753,Cotton
21.97,37.29,30.13,30.16,65.85,7.215,48.4,Red,2.582,1.186,1.545,MungBean
15.82,28.68,35.45,33.01,49.71,6.443,112.7,Sandy,1.47,0.954,0.743,Mango
81.98,36.12,81.3,29.23,73.47,7.231,64.7,Loamy,1.964,0.72,1.398,Onion
21.79,41.23,78.24,28.92,53.24,6.827,44.7,Red,2.912,0.898,0.946,MothBeans
79.14,39.55,80.4,22.77,82.05,6.735,64.8,Clay,2.328,0.216,0.793,Onion
80.42,65.15,73.29,22.67,73.72,6.749,87.7,Black,1.7,0.361,1.071,Tomato
90.55,93.41,46.29,27.22,78.78,5.881,106.9,Alluvial,2.305,0.919,1.607,Banana
21.26,149.43,181.22,25.47,93.7,6.15,118.6,Alluvial,2.091,0.125,0.761,Apple
79.87,39.93,49.16,15.66,63.97,7.064,80.7,Black,2.735,1.186,1.478,Mustard
94.94,38.06,37.95,13.93,64.07,7.326,75.4,Black,1.012,0.811,0.655,Mustard
45.5,58.74,39.52,25.64,66.9,6.484,117.9,Red,1.393,0.516,1.633,Soybean
76.14,42.94,57.12,24.69,61.27,6.738,98.0,Alluvial,2.486,0.627,0.91,Maize
82.77,59.5,90.55,23.93,69.49,6.401,87.4,Loamy,2.132,0.876,2.054,Tomato
35.95,76.97,17.13,29.23,67.02,7.245,56.3,Alluvial,2.415,0.883,1.796,Blackgram
95.95,59.22,66.98,21.68,80.73,7.393,99.7,Laterite,1.674,1.047,0.592,Sugarcane
26.49,133.93,197.77,21.84,84.04,5.733,70.3,Red,3.037,1.3,1.332,Grapes
77.61,36.02,39.48,20.72,67.79,6.746,88.4,Alluvial,2.047,0.882,1.434,Sunflower
20.52,20.5,32.43,28.75,94.16,5.896,154.7,Laterite,1.84,0.924,1.153,Coconut
44.34,62.39,79.9,15.3,55.85,7.094,64.4,Red,2.264,0.861,1.251,ChickPea
111.69,54.68,91.67,24.25,90.47,5.966,180.4,Loamy,1.382,0.433,1.082,Ginger
17.79,56.9,32.14,27.46,62.22,6.633,97.4,Clay,2.082,0.952,1.219,Groundnut
112.83,68.18,47.45,21.03,73.3,6.434,97.0,Loamy,1.828,1.026,1.061,Cotton
106.7,38.48,54.09,21.01,77.15,6.436,99.8,Laterite,2.374,0.714,0.796,Cotton
106.17,82.38,39.33,25.42,78.14,6.06,102.9,Clay,1.613,0.457,0.991,Banana
20.62,27.19,27.47,28.77,40.37,5.822,123.2,Sandy,2.468,0.966,1.175,Mango
36.61,68.88,86.29,19.83,59.69,6.597,72.9,Black,1.743,1.203,0.74,ChickPea
45.68,75.85,69.9,19.51,59.63,6.926,66.4,Loamy,2.916,1.299,1.351,ChickPea
15.28,44.44,82.29,28.2,46.58,6.866,57.1,Clay,3.199,1.108,0.704,MothBeans
20.67,64.35,33.68,29.05,71.55,6.791,72.1,Alluvial,2.793,1.042,1.136,Groundnut
17.88,60.84,21.58,18.95,64.2,7.036,44.2,Loamy,2.853,0.731,0.935,Lentil
77.06,42.97,36.28,20.81,62.62,5.914,86.3,Red,3.139,0.639,1.145,Maize
74.8,43.76,45.83,20.97,57.92,6.378,81.0,Loamy,2.815,0.284,1.709,Maize
100.59,82.2,49.75,25.13,76.65,5.728,120.8,Red,2.322,1.003,1.998,Banana
127.63,45.82,48.38,21.26,81.42,6.95,55.2,Clay,1.456,0.829,0.912,Cotton
82.88,42.72,52.16,24.04,79.45,6.705,100.2,Sandy,2.046,0.55,1.069,Cotton
18.54,21.93,22.29,25.05,94.18,5.597,190.3,Red,2.198,0.814,1.506,Coconut
96.35,89.23,38.9,25.45,77.13,6.299,117.9,Red,2.425,1.072,1.005,Banana
93.88,41.84,47.7,19.53,65.93,6.728,117.5,Black,3.294,1.225,1.746,Maize
46.51,81.42,94.51,19.52,61.84,7.164,60.6,Loamy,2.337,1.065,1.139,ChickPea
17.28,56.32,34.84,32.59,68.15,6.653,78.4,Black,1.864,0.922,1.25,Groundnut
134.0,66.15,116.65,18.58,80.21,5.578,142.9,Alluvial,2.205,0.667,1.102,Potato
74.54,50.99,30.99,23.06,86.27,6.341,244.9,Alluvial,2.103,0.617,1.335,Rice
99.59,100.56,56.85,25.4,68.45,6.235,100.1,Laterite,1.859,0.543,1.712,Banana
78.63,40.46,43.87,24.59,68.54,6.978,94.6,Sandy,2.575,0.688,0.546,Sunflower
44.45,56.88,26.08,29.31,68.12,6.805,59.2,Clay,2.193,0.462,0.904,Blackgram
75.93,46.11,55.09,22.09,64.69,6.029,96.4,Black,2.011,0.888,1.076,Maize
107.41,49.3,34.29,18.38,75.88,6.445,106.5,Alluvial,1.998,1.163,0.943,Wheat
30.9,58.23,76.23,18.86,56.92,7.608,73.5,Loamy,3.574,1.088,1.364,ChickPea
90.12,46.99,84.17,24.63,73.25,6.848,84.7,Laterite,1.645,0.385,1.573,Onion
41.65,70.52,16.77,31.62,74.0,7.034,72.9,Laterite,2.781,0.371,0.642,Blackgram
94.84,53.28,94.5,24.73,78.07,6.281,210.0,Clay,2.349,0.903,1.91,Turmeric
81.81,34.27,45.94,15.97,61.34,7.024,78.0,Red,2.153,0.466,1.162,Mustard
102.62,51.22,104.29,22.68,78.11,6.323,177.3,Clay,1.124,0.994,0.422,Ginger
14.84,40.34,71.07,28.25,57.27,6.615,59.9,Alluvial,2.125,0.1,1.258,MothBeans
109.35,67.98,46.33,24.46,71.62,6.01,92.3,Laterite,2.245,1.108,1.479,Banana
49.18,72.69,85.81,20.53,59.64,7.597,71.3,Clay,0.566,0.66,1.44,ChickPea
75.95,37.87,27.29,23.63,79.23,6.382,185.3,Red,2.166,0.901,0.604,Jute
66.56,34.94,54.06,23.62,76.39,6.829,230.9,Loamy,2.059,0.925,1.374,Rice
21.38,85.24,17.53,16.43,52.67,7.157,37.3,Clay,1.556,0.853,0.468,Lentil
21.5,11.93,37.24,27.21,97.22,6.028,128.4,Red,2.072,1.05,1.89,Coconut
80.65,40.12,45.44,19.8,78.44,6.547,45.5,Sandy,2.607,1.176,0.691,Sunflower
