State,District,Year,Season,Crop,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Yield_kg_ha,Price_INR_q
Punjab,Gurdaspur,2019,Annual,Sugarcane,126.57,62.11,94.45,5.07,65.86,7.69,857.42,64140.1,323.93
Andhra Pradesh,West Godavari,2019,Kharif,Cotton,58.76,46.2,31.28,31.72,65.41,6.06,878.85,442.0,4997.31
Kerala,Kochi,2020,Kharif,Rice,67.47,28.34,34.09,27.36,75.05,5.88,2813.63,3513.17,1532.6
Haryana,Sonipat,2023,Rabi,Sunflower,39.89,53.41,50.24,6.44,53.98,6.98,674.46,1164.0,5519.28
Tamil Nadu,Salem,2021,Annual,Mango,17.86,20.22,17.58,32.5872,85.6945,6.7628,992.83,9889.3,2694.86
Madhya Pradesh,Raisen,2020,Kharif,Groundnut,24.02,46.18,38.86,23.5418,65.6243,6.3104,763.19,1830.6,5297.09
Telangana,Adilabad,2019,Rabi,Sunflower,57.0,59.51,55.76,24.9714,69.598,5.7595,1044.06,1219.5,5689.4
Arunachal Pradesh,West Kameng,2022,Rabi,Potato,138.92,59.26,110.04,21.9681,83.1344,6.025,3130.23,24402.4,1062.6
Kerala,Malappuram,2023,Annual,Coconut,8.95,4.19,43.91,29.7569,93.4915,6.241,3405.4,5838.4,1416.12
Uttarakhand,Pauri Garhwal,2020,Kharif,Maize,74.89,38.39,47.09,14.64,70.5,5.77,1424.21,2028.4,1820.69
West Bengal,North 24 Parganas,2019,Annual,Sugarcane,99.88,49.57,96.02,25.9732,80.5622,5.6046,1557.97,60045.2,257.98
Andhra Pradesh,Kurnool,2022,Kharif,Maize,106.96,68.72,41.63,34.29,71.87,6.09,925.93,4429.09,1655.25
Tamil Nadu,Tiruppur,2020,Rabi,Tomato,74.62,60.84,61.19,27.17,81.68,5.75,932.78,17239.1,2720.71
Kerala,Thiruvananthapuram,2022,Kharif,Ginger,143.78,42.92,109.83,29.36,75.87,5.95,2818.04,5007.85,5571.19
Mizoram,Aizawl,2020,Kharif,Rice,56.02,40.09,44.16,16.7519,82.052,5.461,1885.89,2040.2,1615.64
Odisha,Ganjam,2020,Kharif,Turmeric,80.72,47.55,90.21,26.6489,92.1773,5.7229,1239.45,3712.3,7033.88
Rajasthan,Bharatpur,2021,Kharif,Groundnut,30.96,42.5,27.57,25.4835,35.6606,7.9968,461.3,2040.7,5720.38
Kerala,Alappuzha,2022,Kharif,Ginger,128.52,54.24,93.26,27.97,74.31,5.49,2660.57,3401.0,5522.84
Uttarakhand,Udham Singh Nagar,2022,Rabi,Lentil,11.53,61.8,20.89,10.68,75.11,4.85,1020.77,164.94,5423.35
Rajasthan,Alwar,2022,Kharif,Cotton,145.76,56.8,48.9,10.75,51.05,6.18,66.02,542.0,6312.54
Punjab,Jalandhar,2023,Kharif,Rice,43.57,46.61,42.86,17.9892,32.4677,7.8029,758.44,2625.9,1799.18
Himachal Pradesh,Solan,2021,Rabi,Wheat,101.79,46.8,53.83,12.04,81.15,5.99,851.7,3634.8,2335.4
Haryana,Karnal,2020,Zaid,MungBean,16.43,43.62,46.52,35.75,67.84,5.75,676.88,1347.88,6717.47
Jharkhand,Dhanbad,2021,Zaid,MungBean,19.57,27.13,29.95,24.1923,66.5099,5.6916,1126.72,1136.7,7453.81
Maharashtra,Osmanabad,2022,Kharif,Soybean,35.94,73.12,45.1,24.84,61.51,6.27,1204.53,1390.6,4066.79
Manipur,Churachandpur,2019,Kharif,Maize,135.99,25.64,36.73,23.6574,87.3561,5.5863,1312.86,2744.6,1700.03
Himachal Pradesh,Una,2019,Rabi,Tomato,92.07,51.56,93.76,14.13,86.42,7.19,1223.69,18825.01,2678.34
Telangana,Adilabad,2022,Kharif,Cotton,139.06,37.83,43.32,25.57,74.42,7.22,1062.43,575.2,5883.36
West Bengal,Howrah,2022,Rabi,Tomato,58.07,64.51,81.28,23.64,81.6,5.52,1489.48,20616.3,2573.25
Maharashtra,Nashik,2020,Kharif,Rice,111.01,50.4,57.62,29.06,64.1,6.26,880.84,2459.3,1870.59
Gujarat,Gandhinagar,2020,Kharif,Rice,81.11,47.51,37.97,35.4648,67.0766,6.9946,773.64,3990.9,1996.76
Rajasthan,Jaipur,2019,Zaid,MungBean,14.02,49.77,53.79,34.8988,18.2294,8.2176,592.59,1147.4,9151.01
Andaman & Nicobar,North and Middle Andaman,2020,Annual,Banana,140.52,82.63,54.08,25.7467,91.8468,5.5506,3139.36,29265.5,1073.45
Uttarakhand,Tehri Garhwal,2020,Rabi,Tomato,89.25,54.68,107.9,8.04,61.79,6.39,1334.18,17713.7,2884.74
Rajasthan,Bikaner,2023,Kharif,Cotton,171.54,52.89,62.46,36.88,22.82,6.76,436.34,1001.77,6159.62
Bihar,Patna,2022,Kharif,Rice,87.27,33.81,57.78,21.74,57.14,5.84,1034.2,4337.8,1922.14
Odisha,Balasore,2022,Kharif,Groundnut,25.5,35.25,36.61,27.72,80.16,5.46,1565.44,3496.4,5700.02
Andhra Pradesh,Krishna,2020,Kharif,Cotton,72.11,47.06,39.03,25.02,52.41,6.31,1342.23,1488.26,5848.38
Bihar,Saran,2020,Annual,Sugarcane,104.31,76.22,114.87,23.38,82.67,7.07,1252.38,83017.8,292.16
Karnataka,Mangaluru,2023,Annual,Sugarcane,84.82,46.2,92.6,28.24,54.21,5.28,1087.91,61564.95,324.81
Jammu & Kashmir,Kathua,2021,Rabi,Mustard,102.24,41.7,28.5,11.34,64.35,5.45,1091.23,1510.4,5488.44
Arunachal Pradesh,East Kameng,2021,Kharif,Ginger,65.68,44.33,112.49,22.5776,81.0756,5.669,2643.49,3278.7,5803.48
Kerala,Kozhikode,2020,Kharif,Ginger,81.14,47.35,66.4,25.85,88.39,6.21,3093.5,3334.5,4918.66
Uttar Pradesh,Meerut,2022,Annual,Sugarcane,112.29,69.12,94.57,26.65,64.87,6.67,805.64,68828.0,256.65
Kerala,Kollam,2020,Kharif,Turmeric,119.19,62.05,80.33,30.68,79.5,5.98,3182.44,3284.2,6329.04
Delhi,East Delhi,2019,Rabi,Wheat,116.25,40.16,24.53,25.97,75.79,7.27,680.47,2534.4,1927.39
Tamil Nadu,Dindigul,2021,Kharif,Rice,98.52,62.18,32.08,32.44,83.09,6.71,701.43,3630.5,1706.92
Punjab,Bathinda,2020,Rabi,Potato,136.82,15.04,111.34,19.48,46.23,8.11,743.74,20083.82,967.21
Gujarat,Vadodara,2021,Annual,Sugarcane,47.49,71.49,47.46,40.0016,56.893,6.7579,499.31,71611.9,283.3
Tamil Nadu,Madurai,2020,Kharif,Turmeric,80.37,38.51,106.87,30.18,73.43,6.24,843.25,5249.34,7143.34
Rajasthan,Alwar,2021,Rabi,Mustard,88.48,26.98,42.19,36.572,64.707,7.7606,473.32,1879.8,5846.05
Karnataka,Bidar,2022,Kharif,Maize,69.78,70.18,47.85,24.28,83.37,7.03,769.2,3166.0,1997.35
Maharashtra,Latur,2019,Rabi,Wheat,110.75,43.43,78.17,23.2,48.35,6.57,1131.72,3572.4,2169.85
Odisha,Cuttack,2021,Kharif,Turmeric,67.01,27.98,143.93,33.11,76.17,5.27,1107.58,3178.3,7196.96
Maharashtra,Nagpur,2021,Rabi,Onion,83.03,49.32,87.47,22.22,91.49,6.73,712.35,16839.6,1657.45
Uttarakhand,Dehradun,2022,Rabi,Mustard,84.99,57.23,30.41,15.9004,70.3836,6.2176,1047.65,1707.7,5755.19
Tamil Nadu,Chennai,2019,Annual,Sugarcane,117.18,60.57,73.62,26.2185,80.6389,6.0532,972.82,80947.1,300.5
Andhra Pradesh,Chittoor,2022,Annual,Banana,96.37,112.51,31.76,28.0104,74.1317,5.8692,898.8,26412.9,1098.43
Daman & Diu,Diu,2021,Annual,Sugarcane,103.13,52.37,66.27,32.24,66.32,7.01,1254.85,77602.5,317.43
Tamil Nadu,Salem,2022,Annual,Mango,26.61,32.08,22.89,21.093,84.2864,6.5292,1057.59,5180.4,3214.03
Mizoram,Serchhip,2019,Rabi,Potato,143.68,59.7,134.65,22.29,79.48,5.15,1660.46,22115.49,1018.49
Odisha,Bhadrak,2021,Kharif,Turmeric,80.98,51.86,110.81,36.66,82.35,5.77,1328.04,4649.6,6761.39
Gujarat,Vadodara,2020,Annual,Sugarcane,75.39,76.34,71.1,26.63,54.21,6.9,356.46,62901.64,348.01
Tamil Nadu,Salem,2019,Annual,Mango,31.55,19.13,26.45,28.56,66.83,6.18,908.18,8486.4,2889.04
Uttar Pradesh,Gorakhpur,2020,Zaid,MungBean,14.49,17.21,32.88,30.54,54.7,7.97,524.85,484.13,6868.27
Himachal Pradesh,Solan,2022,Kharif,Rice,71.49,67.93,55.22,24.23,87.36,5.62,1204.38,2220.5,1999.89
Assam,Kamrup,2022,Kharif,Jute,65.29,35.57,40.09,29.94,74.92,6.14,1665.49,2923.56,4388.84
Arunachal Pradesh,Itanagar,2020,Rabi,Potato,100.99,84.55,104.98,13.4994,86.8035,5.4194,2420.8,16961.1,1025.31
Telangana,Nalgonda,2023,Annual,Banana,99.1,79.82,34.9,33.5538,71.5967,6.7496,954.59,26377.5,1130.33
Sikkim,East Sikkim,2023,Kharif,Rice,114.04,53.11,55.74,25.99,87.16,6.02,2397.65,2994.6,1899.97
Jharkhand,Giridih,2022,Rabi,Wheat,87.62,65.85,46.66,25.05,67.71,6.15,948.53,3504.9,2228.47
Madhya Pradesh,Hoshangabad,2023,Rabi,Wheat,73.19,40.73,50.96,29.99,73.64,7.28,857.29,3365.46,1856.91
Jammu & Kashmir,Pulwama,2022,Rabi,Apple,8.32,93.42,195.85,9.88,75.51,5.92,1133.69,15916.95,5079.14
Uttar Pradesh,Aligarh,2023,Kharif,PigeonPeas,22.83,72.36,64.05,21.67,68.43,5.89,905.35,1131.3,6954.97
Maharashtra,Nashik,2022,Rabi,Onion,89.71,41.39,55.51,17.53,67.03,5.19,1159.5,16445.65,1545.53
Odisha,Koraput,2021,Rabi,Mustard,88.05,46.59,44.67,19.2122,69.1531,4.9475,1562.77,1470.9,5032.07
Tripura,East Tripura,2019,Kharif,Jute,71.0,42.76,44.82,27.68,75.49,5.11,1621.83,2137.0,4644.26
Uttar Pradesh,Ghaziabad,2020,Rabi,Lentil,24.46,60.48,9.76,28.1683,83.0091,7.9753,905.75,993.1,5121.48
Goa,South Goa,2022,Annual,Mango,12.3,18.78,45.07,26.1733,74.1591,6.0228,2344.24,7980.4,3189.62
Maharashtra,Kolhapur,2019,Annual,Banana,91.42,87.73,40.5,36.89,47.17,7.06,1059.06,28227.1,1122.76
Uttarakhand,Nainital,2021,Rabi,Wheat,50.22,44.74,28.73,4.97,70.01,5.93,1214.81,4857.4,2066.21
Sikkim,North Sikkim,2022,Kharif,Rice,85.27,13.19,12.99,16.54,72.8,5.43,2531.7,3169.5,1880.32
Rajasthan,Kota,2022,Kharif,Cotton,160.67,40.39,46.84,33.3433,47.0353,7.3674,414.49,353.7,5975.63
Punjab,Bathinda,2022,Rabi,Potato,142.82,43.49,97.05,28.39,61.07,7.85,607.4,24330.9,949.73
Maharashtra,Satara,2020,Kharif,Rice,80.37,38.17,36.71,32.36,56.68,6.57,1540.09,3301.7,1818.29
Rajasthan,Alwar,2023,Rabi,Mustard,88.08,25.83,44.64,37.13,63.15,7.81,424.62,1879.8,5846.05
Telangana,Warangal,2021,Kharif,Rice,58.61,37.09,42.76,31.8618,81.5239,5.9124,629.06,4119.1,1880.13
West Bengal,Birbhum,2020,Rabi,Wheat,63.72,35.8,39.78,23.15,84.54,5.63,1742.04,3922.9,1842.48
Uttar Pradesh,Agra,2020,Kharif,Maize,92.86,60.19,72.34,25.34,56.06,6.94,847.95,3689.1,1951.69
West Bengal,South 24 Parganas,2019,Kharif,Rice,68.98,34.95,40.14,36.38,89.5,5.85,1071.81,3337.1,1796.0
Rajasthan,Jaisalmer,2023,Kharif,Cotton,129.87,45.69,66.79,34.79,28.5,8.49,374.86,354.8,5557.48
Rajasthan,Nagaur,2022,Rabi,Wheat,73.22,34.93,48.11,36.1048,48.4745,7.8814,264.53,3646.2,1773.29
Tripura,North Tripura,2020,Kharif,Turmeric,129.19,54.77,107.8,29.56,70.83,5.6,2064.76,3900.08,7007.96
Uttar Pradesh,Saharanpur,2021,Zaid,MungBean,17.62,30.45,48.72,24.85,73.13,7.54,240.58,865.1,7483.4
Andaman & Nicobar,North and Middle Andaman,2022,Annual,Banana,114.49,70.28,64.8,25.365,85.6124,5.8238,2701.02,29229.9,1092.31
Karnataka,Hassan,2023,Annual,Mango,27.41,41.53,25.81,25.3047,61.0752,5.2009,1137.15,5760.5,3127.36
Himachal Pradesh,Shimla,2023,Kharif,Maize,113.75,36.07,62.95,29.03,63.84,6.1,1343.65,4638.66,1928.8
Arunachal Pradesh,Itanagar,2020,Rabi,Apple,25.73,100.66,166.63,15.9929,87.7536,5.9264,1509.2,14629.3,5272.7
Manipur,Imphal West,2023,Kharif,Rice,77.86,69.68,33.49,15.08,87.19,5.06,1255.34,3781.0,1926.08
Telangana,Karimnagar,2019,Rabi,Tomato,62.52,28.34,78.74,30.78,67.0,6.57,763.1,15604.6,2619.89
Mizoram,Serchhip,2021,Rabi,Potato,168.74,37.95,91.57,15.19,82.67,4.51,2213.84,16402.9,1206.27
Madhya Pradesh,Shivpuri,2023,Kharif,Soybean,37.24,55.57,12.05,23.5092,66.5715,6.3551,1048.85,1085.6,3471.24
Telangana,Medak,2020,Rabi,Sunflower,94.57,41.84,32.43,27.04,64.31,6.08,752.45,1701.72,5162.93
Maharashtra,Nagpur,2021,Annual,Banana,90.4,95.07,53.2,25.4604,65.161,7.2451,641.49,23973.3,1122.66
Tripura,South Tripura,2022,Kharif,Jute,75.77,43.14,6.65,23.98,94.17,5.69,2447.92,2359.8,4389.16
Uttarakhand,Haridwar,2023,Kharif,Maize,109.32,71.62,48.08,24.28,79.73,6.03,1292.73,4115.74,1794.74
Jharkhand,Ranchi,2021,Kharif,Maize,73.5,74.39,45.5,32.5665,60.8322,5.3361,1058.09,2147.3,1778.78
Gujarat,Mehsana,2019,Kharif,Rice,68.57,47.87,38.54,34.6527,74.0021,6.4255,768.42,3402.8,1978.06
Jammu & Kashmir,Kupwara,2021,Rabi,Lentil,18.04,80.68,19.56,8.17,67.61,6.45,922.02,1408.14,5779.34
Jammu & Kashmir,Udhampur,2022,Kharif,Soybean,33.19,61.42,42.74,30.5722,59.1995,7.0701,1301.01,1021.5,4237.96
Assam,Dibrugarh,2023,Kharif,Turmeric,76.91,60.85,64.99,22.6,86.95,5.33,1503.75,4239.21,6653.64
Arunachal Pradesh,West Kameng,2019,Kharif,Ginger,125.53,56.28,77.37,16.87,91.86,5.78,1607.29,3670.9,4953.47
Madhya Pradesh,Hoshangabad,2019,Rabi,Onion,49.88,52.25,88.82,30.18,53.16,6.29,880.98,12477.1,1750.18
Himachal Pradesh,Mandi,2021,Rabi,Tomato,107.45,83.55,74.47,10.31,86.35,6.31,1214.53,22050.17,2408.39
Odisha,Cuttack,2021,Kharif,Rice,64.0,45.72,32.8,29.9249,71.5218,4.9516,1339.69,3299.2,1740.17
Haryana,Karnal,2021,Zaid,MungBean,12.44,40.82,46.23,34.69,69.16,5.79,668.73,745.2,6712.16
Bihar,Rohtas,2020,Kharif,Maize,44.6,45.86,60.47,29.83,78.27,6.15,1153.64,2568.42,1931.66
Madhya Pradesh,Hoshangabad,2020,Rabi,Mustard,77.51,21.4,31.16,18.5448,44.9361,7.5932,809.3,1744.7,4762.86
Rajasthan,Tonk,2020,Zaid,MungBean,28.15,34.95,40.09,21.5967,63.8434,7.7757,362.61,880.4,7976.89
Haryana,Karnal,2021,Rabi,Wheat,94.1,50.26,60.16,18.0093,60.5942,7.4337,617.52,4139.0,2115.31
Jharkhand,Bokaro,2023,Kharif,Rice,95.39,11.68,25.45,25.44,70.59,6.32,1190.67,4319.0,1641.26
Punjab,Ropar,2021,Annual,Sugarcane,83.34,32.81,81.89,21.5699,43.2443,6.9969,914.03,62851.1,317.5
Manipur,Imphal West,2022,Kharif,Ginger,136.87,46.01,103.41,9.1216,63.407,5.9477,1603.34,4701.5,5927.73
West Bengal,North 24 Parganas,2023,Annual,Sugarcane,100.14,51.29,94.45,25.42,79.28,5.69,1533.19,60045.2,257.98
Madhya Pradesh,Indore,2022,Rabi,Wheat,74.56,36.69,55.62,20.42,67.09,8.37,823.2,4308.0,2057.65
Andhra Pradesh,Prakasam,2020,Kharif,Groundnut,15.77,58.27,30.17,31.8101,68.6118,6.4795,790.01,2470.8,6732.69
Himachal Pradesh,Hamirpur,2019,Kharif,Ginger,114.21,49.89,87.14,5.0,77.2694,5.518,1184.28,4134.8,6019.56
Tamil Nadu,Madurai,2022,Rabi,Onion,72.51,35.69,98.37,29.3,78.66,5.98,967.36,17721.5,2000.72
Goa,South Goa,2020,Annual,Coconut,31.53,12.28,30.27,25.52,73.04,6.15,2295.32,6244.0,1567.8
Gujarat,Kheda,2019,Kharif,Rice,55.23,45.53,30.26,31.49,73.98,6.28,670.11,2450.4,1949.91
Haryana,Kurukshetra,2019,Rabi,Sunflower,92.29,39.76,38.67,24.77,58.88,7.14,804.98,1382.4,4373.71
Gujarat,Ahmedabad,2019,Kharif,Groundnut,21.88,48.44,41.31,28.591,45.0108,8.2268,428.01,1728.3,6218.34
Uttar Pradesh,Muzaffarnagar,2022,Rabi,Potato,105.92,53.31,89.42,18.5073,51.1674,7.9452,1119.03,16503.5,980.43
Andaman & Nicobar,South Andaman,2020,Kharif,Rice,92.13,61.5,15.74,31.9186,80.3471,6.1422,3198.82,3442.5,1698.0
Rajasthan,Tonk,2023,Rabi,Mustard,93.01,40.92,20.39,27.2219,38.1473,8.1322,224.87,1972.0,5254.73
Delhi,West Delhi,2020,Rabi,Tomato,104.2,43.58,62.56,21.19,55.41,6.48,483.89,15740.6,2665.76
Tamil Nadu,Erode,2022,Kharif,Cotton,115.94,40.39,40.24,27.78,79.01,6.64,1484.07,407.1,6150.13
Madhya Pradesh,Gwalior,2020,Annual,Sugarcane,130.33,69.76,95.62,27.877,49.9248,8.2281,1339.84,89362.9,302.28
Odisha,Ganjam,2023,Kharif,Turmeric,87.17,81.4,74.56,32.4907,76.2155,5.8958,1255.63,3262.3,7174.47
Andhra Pradesh,Vizianagaram,2022,Kharif,Maize,83.92,44.37,41.58,26.86,81.71,5.91,856.29,2761.7,1906.18
Chhattisgarh,Surguja,2019,Kharif,Maize,62.95,77.92,45.71,24.77,68.66,5.62,1501.56,3569.1,1860.28
Jammu & Kashmir,Udhampur,2019,Kharif,Soybean,32.75,61.14,43.46,30.6,58.98,7.11,1296.51,1591.49,4333.75
Andhra Pradesh,Prakasam,2023,Kharif,Cotton,137.01,41.08,57.36,21.95,86.85,5.88,1215.03,2094.03,5192.1
Himachal Pradesh,Hamirpur,2021,Kharif,Ginger,110.01,66.12,82.52,21.59,82.78,5.71,1141.34,4921.5,4802.52
Haryana,Jhajjar,2022,Kharif,Maize,75.0,50.31,38.73,26.28,38.11,6.84,637.87,4045.3,1918.8
Uttar Pradesh,Varanasi,2022,Annual,Sugarcane,108.97,45.03,86.18,19.56,61.55,6.78,1024.41,86037.5,339.33
Andhra Pradesh,Vijayawada,2022,Kharif,Cotton,113.28,55.03,54.98,27.85,68.4,6.41,1313.89,313.0,6620.41
Haryana,Jhajjar,2023,Kharif,Maize,71.48,48.95,44.6,26.2817,37.5807,6.8922,609.75,4045.3,1918.8
Tamil Nadu,Coimbatore,2022,Annual,Coconut,30.47,13.02,31.23,19.6493,74.938,7.4608,845.57,7150.2,1493.59
Odisha,Rourkela,2022,Annual,Coconut,19.36,14.56,40.23,21.23,72.81,6.18,1093.09,8519.7,1297.45
Punjab,Ferozepur,2020,Kharif,Maize,95.7,62.36,70.08,35.06,44.67,7.58,855.88,5872.91,1851.88
Punjab,Ferozepur,2019,Rabi,Mustard,85.12,43.96,41.73,31.5786,51.8441,8.2312,640.18,1459.1,5372.63
Rajasthan,Bikaner,2023,Kharif,Groundnut,21.36,40.63,40.89,30.6159,61.1424,7.3865,222.8,2446.2,5303.63
Telangana,Karimnagar,2020,Annual,Mango,10.74,18.33,36.81,27.6,74.2,5.84,460.2,5549.53,2639.96
Uttarakhand,Pauri Garhwal,2022,Kharif,Maize,75.85,36.19,45.16,15.28,70.22,5.82,1438.49,1127.88,1758.32
Bihar,Darbhanga,2021,Rabi,Wheat,58.86,55.86,42.17,28.96,87.73,7.38,1058.16,4114.6,2197.05
Haryana,Hisar,2021,Annual,Sugarcane,87.8,74.11,68.55,25.48,67.65,7.92,818.96,66841.0,307.92
Uttar Pradesh,Firozabad,2020,Zaid,MungBean,15.44,46.37,38.28,18.6733,55.0827,7.8315,1065.83,770.9,8070.24
Chandigarh,Chandigarh,2021,Kharif,Rice,73.07,53.19,52.46,18.4002,52.889,7.4726,744.37,4182.0,2007.27
Meghalaya,East Khasi Hills,2020,Rabi,Potato,149.27,60.42,142.14,11.0633,85.8705,5.0076,2379.37,19232.1,1112.03
Jharkhand,Deoghar,2023,Rabi,Lentil,10.83,62.37,17.61,30.0961,72.0092,5.3796,1141.79,1179.3,5735.75
Tamil Nadu,Madurai,2022,Kharif,Turmeric,80.98,38.0,162.15,29.81,79.6,5.67,867.76,3128.9,7186.52
Maharashtra,Nagpur,2023,Rabi,Onion,78.26,40.24,77.96,25.923,76.1686,5.7321,762.75,11354.0,1978.78
